SubscriberID,EventType,Timestamp,Location,DeviceID,FraudType
SUB-822833,ServiceChange,2023-05-11 15:58:39,Loc-690,DEV-9135,None
SUB-612608,ServiceChange,2023-06-29 02:50:40,Loc-537,DEV-9514,SIM Swap
SUB-599374,ServiceChange,2023-05-23 04:22:00,Loc-681,DEV-4434,SIM Swap
SUB-926606,SIMSwap,2023-06-15 02:38:30,Loc-173,DEV-4418,SIM Swap
SUB-193636,ServiceChange,2023-04-10 17:54:35,Loc-709,DEV-2195,SIM Swap
SUB-330748,SIMSwap,2023-01-10 02:54:47,Loc-660,DEV-9919,SIM Swap
SUB-287858,ServiceChange,2023-11-02 11:51:23,Loc-603,DEV-3134,None
SUB-310222,SIMSwap,2023-08-24 17:01:02,Loc-113,DEV-9028,SIM Swap
SUB-220566,Recharge,2023-12-03 06:38:50,Loc-128,DEV-1543,None
SUB-178638,Activation,2023-03-28 23:18:28,Loc-724,DEV-2741,SIM Swap
SUB-422907,SIMSwap,2023-01-01 02:04:29,Loc-415,DEV-5637,None
SUB-885785,Deactivation,2023-06-10 06:37:31,Loc-357,DEV-9182,None
SUB-894968,Activation,2023-04-12 13:48:31,Loc-699,DEV-1209,None
SUB-102658,SIMSwap,2023-06-02 22:17:45,Loc-199,DEV-7299,SIM Swap
SUB-965618,ServiceChange,2023-10-01 10:05:19,Loc-720,DEV-1303,SIM Swap
SUB-980012,SIMSwap,2023-08-10 15:11:11,Loc-191,DEV-6613,SIM Swap
SUB-335061,SIMSwap,2023-09-14 21:26:44,Loc-127,DEV-7249,SIM Swap
SUB-742878,SIMSwap,2023-05-28 22:09:09,Loc-572,DEV-4787,SIM Swap
SUB-574051,Deactivation,2023-01-15 04:50:55,Loc-698,DEV-7461,None
SUB-147243,Deactivation,2023-10-23 19:19:47,Loc-298,DEV-8505,None
SUB-553350,Recharge,2023-03-28 21:13:50,Loc-790,DEV-3841,None
SUB-481506,SIMSwap,2023-11-07 01:59:15,Loc-496,DEV-8189,None
SUB-379925,Recharge,2023-08-29 23:00:43,Loc-580,DEV-2696,SIM Swap
SUB-479492,ServiceChange,2023-08-29 00:45:36,Loc-300,DEV-3571,SIM Swap
SUB-589585,Activation,2023-02-16 00:55:09,Loc-218,DEV-6499,SIM Swap
SUB-810755,SIMSwap,2023-02-07 05:37:08,Loc-953,DEV-8643,SIM Swap
SUB-315589,Deactivation,2023-10-11 13:33:38,Loc-956,DEV-7778,None
SUB-956850,SIMSwap,2023-06-14 16:03:52,Loc-620,DEV-6575,SIM Swap
SUB-633081,SIMSwap,2023-09-25 03:19:09,Loc-648,DEV-7882,None
SUB-136630,SIMSwap,2023-05-14 05:12:01,Loc-789,DEV-8770,None
SUB-463613,SIMSwap,2023-05-27 23:53:47,Loc-590,DEV-5806,None
SUB-830711,Deactivation,2023-11-29 04:50:53,Loc-520,DEV-5486,SIM Swap
SUB-620286,Activation,2023-03-07 07:53:19,Loc-491,DEV-4289,None
SUB-613804,ServiceChange,2023-11-23 02:10:17,Loc-604,DEV-7951,SIM Swap
SUB-723407,ServiceChange,2023-11-10 23:32:08,Loc-992,DEV-5322,SIM Swap
SUB-643416,ServiceChange,2023-09-12 16:42:36,Loc-859,DEV-7344,SIM Swap
SUB-749090,Recharge,2023-11-15 04:06:04,Loc-697,DEV-5343,SIM Swap
SUB-880750,Activation,2023-05-16 11:42:30,Loc-462,DEV-4909,SIM Swap
SUB-995136,ServiceChange,2023-12-19 07:00:44,Loc-358,DEV-6238,None
SUB-851725,Deactivation,2023-04-09 07:52:51,Loc-124,DEV-6972,None
SUB-564187,ServiceChange,2023-03-07 21:16:52,Loc-714,DEV-1091,SIM Swap
SUB-812220,SIMSwap,2023-08-26 08:15:03,Loc-507,DEV-6158,None
SUB-772853,SIMSwap,2023-04-11 11:14:33,Loc-440,DEV-1442,None
SUB-562344,Recharge,2023-04-19 14:35:55,Loc-667,DEV-1533,SIM Swap
SUB-650478,Activation,2023-05-26 11:30:06,Loc-335,DEV-9717,None
SUB-308374,SIMSwap,2023-05-25 10:06:42,Loc-512,DEV-4088,None
SUB-856668,SIMSwap,2023-02-16 22:32:57,Loc-353,DEV-7669,SIM Swap
SUB-417659,SIMSwap,2023-01-17 15:51:04,Loc-813,DEV-5533,None
SUB-597778,Deactivation,2023-06-28 02:26:37,Loc-314,DEV-1907,SIM Swap
SUB-191604,Recharge,2023-01-01 12:11:27,Loc-839,DEV-7329,None
SUB-285260,Recharge,2023-11-22 14:44:36,Loc-130,DEV-6148,None
SUB-148118,Deactivation,2023-06-08 07:12:45,Loc-469,DEV-9462,None
SUB-658852,ServiceChange,2023-09-03 07:18:32,Loc-695,DEV-8075,None
SUB-311907,Recharge,2023-12-26 01:12:00,Loc-504,DEV-8655,SIM Swap
SUB-779182,ServiceChange,2023-04-14 11:45:13,Loc-808,DEV-7456,SIM Swap
SUB-881783,Activation,2023-04-07 04:10:20,Loc-323,DEV-3236,SIM Swap
SUB-306114,SIMSwap,2023-08-29 12:35:04,Loc-585,DEV-5332,None
SUB-451980,SIMSwap,2023-02-26 22:45:07,Loc-901,DEV-1879,SIM Swap
SUB-957904,Activation,2023-01-21 17:27:57,Loc-998,DEV-2454,None
SUB-287736,ServiceChange,2023-06-19 09:46:40,Loc-145,DEV-8912,None
SUB-815193,SIMSwap,2023-05-08 08:13:48,Loc-217,DEV-7418,SIM Swap
SUB-642898,Recharge,2023-08-18 20:53:58,Loc-572,DEV-8795,SIM Swap
SUB-312005,SIMSwap,2023-03-18 05:45:47,Loc-341,DEV-1355,SIM Swap
SUB-191430,Recharge,2023-04-08 17:11:09,Loc-320,DEV-6266,SIM Swap
SUB-787132,Recharge,2023-04-15 16:46:34,Loc-822,DEV-8750,None
SUB-996546,Recharge,2023-01-09 21:41:38,Loc-927,DEV-6635,None
SUB-529805,Activation,2023-03-14 03:07:27,Loc-878,DEV-8656,None
SUB-861475,ServiceChange,2023-12-01 06:28:03,Loc-640,DEV-8706,SIM Swap
SUB-553732,ServiceChange,2023-01-24 11:33:07,Loc-592,DEV-2395,None
SUB-267688,SIMSwap,2023-03-12 19:28:14,Loc-344,DEV-7539,None
SUB-329031,SIMSwap,2023-02-12 15:17:33,Loc-230,DEV-4073,SIM Swap
SUB-584149,Recharge,2023-05-22 07:56:18,Loc-712,DEV-9534,SIM Swap
SUB-804823,Activation,2023-09-29 19:22:46,Loc-854,DEV-4393,None
SUB-622431,ServiceChange,2023-12-30 04:27:15,Loc-612,DEV-8305,None
SUB-450713,SIMSwap,2023-10-30 08:09:33,Loc-111,DEV-9016,None
SUB-895339,Activation,2023-09-01 21:05:26,Loc-921,DEV-7626,SIM Swap
SUB-224891,Activation,2023-11-14 22:33:22,Loc-537,DEV-5379,None
SUB-620049,Activation,2023-06-26 17:32:51,Loc-640,DEV-4358,SIM Swap
SUB-562807,SIMSwap,2023-10-11 19:05:37,Loc-375,DEV-9393,None
SUB-944660,Activation,2023-03-30 13:05:44,Loc-360,DEV-9479,SIM Swap
SUB-584903,Deactivation,2023-06-18 02:32:34,Loc-986,DEV-6383,SIM Swap
SUB-823622,Activation,2023-12-04 02:07:44,Loc-398,DEV-5297,None
SUB-602486,Deactivation,2023-07-19 15:30:18,Loc-159,DEV-1162,None
SUB-223400,ServiceChange,2023-08-04 04:24:34,Loc-989,DEV-9291,None
SUB-930326,ServiceChange,2023-11-09 01:59:19,Loc-362,DEV-5025,None
SUB-548814,ServiceChange,2023-10-17 00:30:03,Loc-631,DEV-6334,SIM Swap
SUB-373775,Recharge,2023-12-12 03:49:12,Loc-142,DEV-6168,None
SUB-125118,Deactivation,2023-03-14 07:25:11,Loc-740,DEV-1551,SIM Swap
SUB-756758,Recharge,2023-06-19 05:08:48,Loc-105,DEV-6607,None
SUB-543888,SIMSwap,2023-08-31 17:22:15,Loc-899,DEV-1886,None
SUB-879319,Recharge,2023-03-03 17:33:19,Loc-311,DEV-1618,None
SUB-736539,SIMSwap,2023-09-13 16:41:59,Loc-737,DEV-7589,SIM Swap
SUB-305346,Deactivation,2023-01-09 06:49:02,Loc-714,DEV-3705,None
SUB-475617,ServiceChange,2023-05-17 22:41:45,Loc-371,DEV-1052,None
SUB-130777,ServiceChange,2023-08-20 22:42:00,Loc-758,DEV-2922,SIM Swap
SUB-388545,Activation,2023-11-09 08:43:04,Loc-284,DEV-8584,None
SUB-271287,Activation,2023-02-15 14:56:47,Loc-249,DEV-6853,None
SUB-197955,SIMSwap,2023-12-24 19:56:04,Loc-434,DEV-1071,None
SUB-406400,Deactivation,2023-03-19 20:35:22,Loc-180,DEV-9711,None
SUB-833775,Activation,2023-10-22 09:39:50,Loc-809,DEV-7299,None
SUB-946984,Activation,2023-04-27 21:07:02,Loc-641,DEV-3038,None
SUB-694139,Deactivation,2023-12-20 10:15:30,Loc-157,DEV-6678,SIM Swap
SUB-656465,Recharge,2023-10-03 06:38:57,Loc-559,DEV-4563,SIM Swap
SUB-565006,ServiceChange,2023-08-22 00:26:01,Loc-557,DEV-4351,None
SUB-384054,Recharge,2023-09-05 19:22:51,Loc-796,DEV-6364,None
SUB-651830,Activation,2023-05-26 12:54:07,Loc-978,DEV-2386,None
SUB-609628,Deactivation,2023-11-30 19:42:23,Loc-794,DEV-4076,None
SUB-557798,Recharge,2023-11-27 20:45:59,Loc-234,DEV-6816,None
SUB-628947,Recharge,2023-03-13 17:12:39,Loc-991,DEV-6936,SIM Swap
SUB-777926,ServiceChange,2023-09-24 05:53:34,Loc-528,DEV-9648,None
SUB-452891,Recharge,2023-08-18 19:29:49,Loc-142,DEV-4992,None
SUB-638236,Activation,2023-08-12 09:08:10,Loc-533,DEV-6379,SIM Swap
SUB-374519,SIMSwap,2023-06-26 02:45:52,Loc-496,DEV-2692,SIM Swap
SUB-115616,Recharge,2023-07-19 00:50:04,Loc-667,DEV-5615,None
SUB-847631,Recharge,2023-10-14 06:12:57,Loc-131,DEV-9362,None
SUB-786195,Recharge,2023-04-22 21:21:01,Loc-516,DEV-5759,None
SUB-348855,Recharge,2023-01-11 09:26:29,Loc-554,DEV-7766,SIM Swap
SUB-463509,Recharge,2023-08-22 12:50:33,Loc-814,DEV-4446,SIM Swap
SUB-448799,SIMSwap,2023-07-18 08:48:40,Loc-179,DEV-2015,None
SUB-796303,Deactivation,2023-06-23 10:57:20,Loc-549,DEV-6402,SIM Swap
SUB-568742,ServiceChange,2023-09-01 17:31:12,Loc-608,DEV-9079,SIM Swap
SUB-490179,SIMSwap,2023-12-06 09:08:59,Loc-284,DEV-7061,SIM Swap
SUB-842433,Activation,2023-02-19 00:11:08,Loc-322,DEV-9426,SIM Swap
SUB-255592,Recharge,2023-10-14 02:10:34,Loc-700,DEV-5068,SIM Swap
SUB-725092,ServiceChange,2023-08-28 02:41:34,Loc-139,DEV-1278,SIM Swap
SUB-165141,Recharge,2023-12-06 11:48:58,Loc-438,DEV-6966,SIM Swap
SUB-674010,Recharge,2023-08-10 01:14:28,Loc-804,DEV-7816,SIM Swap
SUB-378031,Activation,2023-06-19 11:19:38,Loc-536,DEV-3172,None
SUB-810666,SIMSwap,2023-05-13 09:35:47,Loc-907,DEV-7910,SIM Swap
SUB-223116,Deactivation,2023-05-09 02:49:02,Loc-472,DEV-4620,SIM Swap
SUB-131323,Deactivation,2023-10-29 13:43:16,Loc-561,DEV-8060,SIM Swap
SUB-376307,SIMSwap,2023-10-13 03:35:24,Loc-910,DEV-1341,SIM Swap
SUB-415753,Activation,2023-10-31 18:59:27,Loc-258,DEV-3507,SIM Swap
SUB-254691,ServiceChange,2023-06-04 07:06:42,Loc-469,DEV-4233,None
SUB-396775,Recharge,2023-02-13 22:52:27,Loc-810,DEV-4308,SIM Swap
SUB-208232,ServiceChange,2023-12-19 00:16:45,Loc-752,DEV-1809,None
SUB-455451,Recharge,2023-05-22 13:43:52,Loc-444,DEV-4942,SIM Swap
SUB-470348,Recharge,2023-08-30 17:59:58,Loc-444,DEV-6956,SIM Swap
SUB-940349,Deactivation,2023-02-17 18:41:08,Loc-534,DEV-4517,None
SUB-491131,ServiceChange,2023-09-29 14:27:55,Loc-981,DEV-7793,SIM Swap
SUB-633698,Activation,2023-08-06 16:09:07,Loc-940,DEV-6834,None
SUB-416168,SIMSwap,2023-02-05 14:18:45,Loc-130,DEV-9236,SIM Swap
SUB-896007,Activation,2023-04-25 01:30:41,Loc-305,DEV-2301,SIM Swap
SUB-193107,Recharge,2023-12-20 16:30:14,Loc-437,DEV-8725,SIM Swap
SUB-903165,Deactivation,2023-02-06 07:23:14,Loc-740,DEV-8484,None
SUB-333903,ServiceChange,2023-08-04 22:11:01,Loc-492,DEV-1757,None
SUB-171897,ServiceChange,2023-01-14 23:58:50,Loc-636,DEV-9481,SIM Swap
SUB-777621,Activation,2023-02-04 04:10:25,Loc-134,DEV-7038,SIM Swap
SUB-928433,SIMSwap,2023-03-18 11:16:26,Loc-711,DEV-2282,None
SUB-213274,Recharge,2023-11-23 16:43:46,Loc-309,DEV-3837,None
SUB-269621,ServiceChange,2023-04-21 16:43:23,Loc-149,DEV-1540,None
SUB-819294,Deactivation,2023-10-02 19:26:54,Loc-322,DEV-8101,None
SUB-624051,SIMSwap,2023-01-17 12:44:01,Loc-289,DEV-1039,None
SUB-669736,SIMSwap,2023-09-05 02:34:24,Loc-558,DEV-9499,None
SUB-786694,Activation,2023-08-06 07:49:42,Loc-645,DEV-4461,SIM Swap
SUB-397089,ServiceChange,2023-07-21 20:15:49,Loc-201,DEV-7753,SIM Swap
SUB-553275,ServiceChange,2023-04-07 11:52:10,Loc-865,DEV-5472,None
SUB-875053,Activation,2023-07-31 03:26:33,Loc-338,DEV-5898,None
SUB-294609,Recharge,2023-03-14 08:53:18,Loc-860,DEV-7631,SIM Swap
SUB-406291,ServiceChange,2023-04-19 00:01:28,Loc-252,DEV-7767,SIM Swap
SUB-388163,Activation,2023-04-11 01:32:20,Loc-574,DEV-4180,None
SUB-898622,ServiceChange,2023-08-21 17:36:37,Loc-940,DEV-8112,SIM Swap
SUB-351257,ServiceChange,2023-08-19 15:23:35,Loc-903,DEV-6361,None
SUB-816281,SIMSwap,2023-07-04 05:27:46,Loc-554,DEV-5953,SIM Swap
SUB-738985,SIMSwap,2023-03-07 13:00:04,Loc-418,DEV-7359,SIM Swap
SUB-795993,Activation,2023-04-29 19:42:39,Loc-363,DEV-7291,None
SUB-931698,SIMSwap,2023-08-28 11:10:14,Loc-820,DEV-6487,None
SUB-196313,Recharge,2023-05-09 06:26:37,Loc-927,DEV-8162,SIM Swap
SUB-426057,Deactivation,2023-03-18 02:42:18,Loc-729,DEV-5573,None
SUB-260008,ServiceChange,2023-11-04 16:12:01,Loc-912,DEV-1182,SIM Swap
SUB-381300,SIMSwap,2023-05-31 22:01:24,Loc-499,DEV-7853,None
SUB-227648,SIMSwap,2023-03-12 16:56:17,Loc-959,DEV-3279,None
SUB-354796,Deactivation,2023-04-14 09:59:58,Loc-492,DEV-9038,None
SUB-294761,Activation,2023-03-29 23:39:31,Loc-578,DEV-4404,None
SUB-609576,SIMSwap,2023-10-28 09:53:45,Loc-376,DEV-1872,SIM Swap
SUB-808302,Activation,2023-03-21 03:06:43,Loc-627,DEV-7777,SIM Swap
SUB-415413,SIMSwap,2023-05-07 21:49:42,Loc-607,DEV-9215,None
SUB-153957,Recharge,2023-11-02 17:27:20,Loc-437,DEV-6371,SIM Swap
SUB-819832,Recharge,2023-09-20 10:43:17,Loc-894,DEV-8362,SIM Swap
SUB-783384,Recharge,2023-11-17 15:50:45,Loc-920,DEV-8542,SIM Swap
SUB-688903,Activation,2023-01-22 00:21:28,Loc-461,DEV-6526,None
SUB-991006,Deactivation,2023-12-22 22:59:44,Loc-505,DEV-8847,SIM Swap
SUB-373823,Recharge,2023-08-22 15:49:30,Loc-370,DEV-4519,SIM Swap
SUB-335081,Deactivation,2023-07-01 07:45:00,Loc-137,DEV-7023,SIM Swap
SUB-212586,Recharge,2023-06-18 16:50:12,Loc-463,DEV-4160,SIM Swap
SUB-938479,Recharge,2023-03-10 23:05:14,Loc-143,DEV-2006,SIM Swap
SUB-258256,Activation,2023-09-24 00:38:24,Loc-622,DEV-8066,SIM Swap
SUB-362206,ServiceChange,2023-10-05 19:37:40,Loc-202,DEV-7040,None
SUB-153172,Deactivation,2023-05-07 12:38:57,Loc-184,DEV-2518,SIM Swap
SUB-803248,Activation,2023-11-09 10:10:18,Loc-448,DEV-7698,SIM Swap
SUB-757823,Activation,2023-04-02 10:23:21,Loc-329,DEV-6187,SIM Swap
SUB-152074,SIMSwap,2023-02-04 00:24:15,Loc-740,DEV-5310,None
SUB-294646,Deactivation,2023-10-03 13:41:40,Loc-676,DEV-9203,SIM Swap
SUB-543877,ServiceChange,2023-10-03 19:42:25,Loc-309,DEV-4050,SIM Swap
SUB-804242,SIMSwap,2023-09-26 16:24:30,Loc-833,DEV-1780,SIM Swap
SUB-235116,Deactivation,2023-03-21 09:39:39,Loc-661,DEV-2569,None
SUB-521749,Activation,2023-12-24 07:53:10,Loc-861,DEV-9280,None
SUB-872463,ServiceChange,2023-01-17 18:49:07,Loc-139,DEV-6957,None
SUB-233074,SIMSwap,2023-02-01 15:50:09,Loc-641,DEV-5378,SIM Swap
SUB-581430,Recharge,2023-08-14 09:31:20,Loc-951,DEV-7658,SIM Swap
SUB-748161,SIMSwap,2023-01-09 03:04:40,Loc-441,DEV-3174,SIM Swap
SUB-119865,Deactivation,2023-05-17 10:47:34,Loc-731,DEV-8032,None
SUB-218556,Recharge,2023-03-25 17:14:48,Loc-424,DEV-9254,None
SUB-146920,Recharge,2023-12-03 20:15:27,Loc-106,DEV-8929,SIM Swap
SUB-867110,Recharge,2023-02-17 23:07:43,Loc-326,DEV-1657,SIM Swap
SUB-180541,Activation,2023-08-20 04:57:26,Loc-869,DEV-3509,None
SUB-214016,ServiceChange,2023-08-02 12:07:53,Loc-701,DEV-8467,SIM Swap
SUB-455626,Deactivation,2023-11-16 15:54:17,Loc-570,DEV-2806,SIM Swap
SUB-568725,Deactivation,2023-11-21 00:55:05,Loc-258,DEV-1716,SIM Swap
SUB-357770,Activation,2023-08-25 17:46:56,Loc-229,DEV-8265,SIM Swap
SUB-361001,Activation,2023-03-11 18:08:07,Loc-523,DEV-7962,SIM Swap
SUB-468459,ServiceChange,2023-11-29 09:30:28,Loc-144,DEV-3875,None
SUB-311022,ServiceChange,2023-02-03 13:45:10,Loc-523,DEV-6829,SIM Swap
SUB-634975,Activation,2023-06-12 12:53:18,Loc-881,DEV-3384,SIM Swap
SUB-575727,Recharge,2023-05-09 20:11:53,Loc-446,DEV-3454,SIM Swap
SUB-579097,Deactivation,2023-12-14 06:59:23,Loc-155,DEV-4964,SIM Swap
SUB-759613,ServiceChange,2023-10-18 06:10:38,Loc-158,DEV-3358,SIM Swap
SUB-859193,Recharge,2023-02-13 18:45:46,Loc-107,DEV-1126,SIM Swap
SUB-884677,ServiceChange,2023-08-02 13:03:31,Loc-599,DEV-1682,SIM Swap
SUB-707175,Activation,2023-05-04 23:13:22,Loc-573,DEV-2245,None
SUB-286469,Activation,2023-09-29 00:11:37,Loc-635,DEV-2496,SIM Swap
SUB-575676,SIMSwap,2023-03-20 16:27:24,Loc-929,DEV-3952,None
SUB-482704,Deactivation,2023-08-12 01:19:34,Loc-922,DEV-4762,None
SUB-117509,Recharge,2023-04-16 21:13:12,Loc-642,DEV-5618,SIM Swap
SUB-185879,ServiceChange,2023-05-09 11:43:05,Loc-584,DEV-1918,SIM Swap
SUB-709937,Recharge,2023-03-15 03:30:25,Loc-248,DEV-2773,None
SUB-133624,Deactivation,2023-04-16 09:43:16,Loc-280,DEV-7487,SIM Swap
SUB-532291,SIMSwap,2023-11-01 12:32:25,Loc-442,DEV-6421,None
SUB-701397,Activation,2023-02-25 09:54:57,Loc-838,DEV-1565,SIM Swap
SUB-172167,Activation,2023-05-06 10:31:13,Loc-827,DEV-5993,None
SUB-916901,Recharge,2023-02-08 06:19:52,Loc-151,DEV-4626,None
SUB-398249,ServiceChange,2023-10-28 20:37:42,Loc-473,DEV-5060,None
SUB-536886,Deactivation,2023-10-24 16:33:27,Loc-343,DEV-1106,SIM Swap
SUB-605407,Recharge,2023-09-29 19:33:56,Loc-409,DEV-4170,SIM Swap
SUB-834587,Activation,2023-01-02 03:00:45,Loc-691,DEV-9851,SIM Swap
SUB-225323,ServiceChange,2023-10-27 10:52:58,Loc-369,DEV-4822,SIM Swap
SUB-570782,Activation,2023-09-06 11:15:06,Loc-762,DEV-3403,None
SUB-924484,ServiceChange,2023-01-05 03:57:17,Loc-948,DEV-5416,SIM Swap
SUB-164474,Activation,2023-11-15 00:50:30,Loc-288,DEV-6587,None
SUB-678603,Deactivation,2023-12-02 00:05:34,Loc-317,DEV-8711,None
SUB-570895,SIMSwap,2023-05-26 06:58:36,Loc-489,DEV-9670,None
SUB-576067,ServiceChange,2023-08-24 00:13:17,Loc-555,DEV-7143,None
SUB-471831,SIMSwap,2023-02-06 15:48:48,Loc-605,DEV-4878,None
SUB-132009,Activation,2023-01-23 05:11:30,Loc-802,DEV-6687,SIM Swap
SUB-965397,SIMSwap,2023-02-02 14:35:04,Loc-893,DEV-7200,None
SUB-359363,Activation,2023-07-09 13:39:53,Loc-702,DEV-4471,SIM Swap
SUB-401489,ServiceChange,2023-01-11 20:19:30,Loc-631,DEV-5222,SIM Swap
SUB-145256,ServiceChange,2023-05-17 01:49:47,Loc-821,DEV-5849,SIM Swap
SUB-968257,Deactivation,2023-10-15 09:46:24,Loc-442,DEV-4319,SIM Swap
SUB-589773,Activation,2023-09-15 20:25:58,Loc-609,DEV-7261,SIM Swap
SUB-107032,SIMSwap,2023-04-12 08:19:15,Loc-501,DEV-3947,None
SUB-591754,SIMSwap,2023-12-09 01:03:23,Loc-763,DEV-6248,SIM Swap
SUB-254355,Deactivation,2023-06-24 19:51:30,Loc-213,DEV-3623,SIM Swap
SUB-127335,Deactivation,2023-12-29 01:52:15,Loc-950,DEV-7275,None
SUB-227172,SIMSwap,2023-06-19 08:50:23,Loc-624,DEV-1327,None
SUB-127671,SIMSwap,2023-12-11 03:31:38,Loc-906,DEV-4609,SIM Swap
SUB-979165,Activation,2023-08-17 05:09:19,Loc-764,DEV-2114,SIM Swap
SUB-985330,SIMSwap,2023-01-02 08:30:43,Loc-934,DEV-2101,SIM Swap
SUB-151336,Activation,2023-12-05 18:57:34,Loc-301,DEV-3227,SIM Swap
SUB-823826,ServiceChange,2023-09-16 22:45:48,Loc-272,DEV-9640,None
SUB-461471,SIMSwap,2023-06-29 08:35:18,Loc-576,DEV-9043,SIM Swap
SUB-923021,Activation,2023-02-02 20:46:45,Loc-384,DEV-8604,None
SUB-831550,ServiceChange,2023-07-16 17:06:46,Loc-232,DEV-2647,None
SUB-690524,Recharge,2023-06-15 18:05:13,Loc-763,DEV-7573,SIM Swap
SUB-555096,Activation,2023-07-10 15:07:11,Loc-560,DEV-4314,SIM Swap
SUB-723510,Recharge,2023-06-01 14:15:53,Loc-812,DEV-2836,None
SUB-256548,Activation,2023-05-18 12:27:43,Loc-986,DEV-2968,None
SUB-486290,ServiceChange,2023-04-04 06:26:09,Loc-976,DEV-8529,SIM Swap
SUB-866096,SIMSwap,2023-10-31 20:49:47,Loc-786,DEV-3862,SIM Swap
SUB-147064,Activation,2023-07-12 14:57:12,Loc-465,DEV-2734,SIM Swap
SUB-589659,Recharge,2023-12-08 11:29:24,Loc-929,DEV-9600,SIM Swap
SUB-770000,ServiceChange,2023-03-15 10:52:55,Loc-471,DEV-9869,None
SUB-677761,Deactivation,2023-10-11 19:45:46,Loc-215,DEV-9029,SIM Swap
SUB-374873,SIMSwap,2023-06-24 11:32:34,Loc-388,DEV-9177,SIM Swap
SUB-736708,Deactivation,2023-05-26 04:13:00,Loc-984,DEV-6457,SIM Swap
SUB-326660,SIMSwap,2023-04-02 08:11:27,Loc-481,DEV-7334,SIM Swap
SUB-888241,Activation,2023-03-10 21:53:44,Loc-459,DEV-3369,None
SUB-983271,Activation,2023-08-26 12:50:33,Loc-304,DEV-2008,SIM Swap
SUB-366519,ServiceChange,2023-09-06 17:04:21,Loc-691,DEV-3016,None
SUB-500056,ServiceChange,2023-02-13 11:19:06,Loc-691,DEV-2458,SIM Swap
